Institution,Nickname,Location,Founded,Joined,Left,Enrollment,Conference
Case Western Reserve,Spartans,"Cleveland, Ohio",1967.0,1970,1983.0,5121.0,Presidents Athletic Conf (PAC)
Eastern Michigan,Eagles,"Ypsilanti, Michigan",1849.0,1962,1966.0,22974.0,Presidents Athletic Conf (PAC)
Hiram,Terriers,"Hiram, Ohio",1850.0,1971,1988.0,1271.0,Presidents Athletic Conf (PAC)
John Carroll,Blue Streaks,"University Heights, Ohio",1886.0,1955,1988.0,3726.0,Presidents Athletic Conf (PAC)
Thomas More,Saints,"Crestview Hills, Kentucky",1921.0,2005,2017.0,1900.0,Presidents Athletic Conf (PAC)
Wayne State,Tartars[f],"Detroit, Michigan",1868.0,1955,1966.0,32564.0,Presidents Athletic Conf (PAC)
Western Reserve,Red Cats,"Cleveland, Ohio",1826.0,1955,1969.0,,Presidents Athletic Conf (PAC)
BYU,Cougars,"Provo, Utah",1875.0,1918,1938.0,34100,Rocky Mountain Athletic
Colorado Boulder,Buffaloes,"Boulder, Colorado",1876.0,1909,1938.0,33246,Rocky Mountain Athletic
Colorado State,Rams,"Fort Collins, Colorado",1870.0,1909,1938.0,34166,Rocky Mountain Athletic
Denver,Pioneers,"Denver, Colorado",1864.0,1910,1938.0,11952,Rocky Mountain Athletic
Emporia State,Hornets,"Emporia, Kansas",1863.0,1967,1972.0,5887,Rocky Mountain Athletic
Idaho State,Bengals,"Pocatello, Idaho",1901.0,1948,1958.0,12805,Rocky Mountain Athletic
Montana State,Bobcats,"Bozeman, Montana",1893.0,1917,1959.0,16766,Rocky Mountain Athletic
Nebraska Omaha,Mavericks,"Omaha, Nebraska",1908.0,1967,1972.0,15431,Rocky Mountain Athletic
Northern Colorado,Bears,"Greeley, Colorado",1889.0,1924,1972.0,12862,Rocky Mountain Athletic
Pittsburg State,Gorillas,"Pittsburg, Kansas",1903.0,1967,1972.0,7102,Rocky Mountain Athletic
Southern Utah,Thunderbirds,"Cedar City, Utah",1897.0,1967,1986.0,10196,Rocky Mountain Athletic
Utah,Utes,"Salt Lake City, Utah",1850.0,1910,1938.0,33000,Rocky Mountain Athletic
Utah State,Aggies,"Logan, Utah",1888.0,1915,1938.0,27691,Rocky Mountain Athletic
Utah Tech,Trailblazers,"St. George, Utah",1911.0,2018,2020.0,12650,Rocky Mountain Athletic
Washburn,Ichabods,"Topeka, Kansas",1865.0,1967,1972.0,7971,Rocky Mountain Athletic
Wayne State - Nebraska,Wildcats,"Wayne, Nebraska",1910.0,1989,1990.0,4202,Rocky Mountain Athletic
Wyoming,Cowboys,"Laramie, Wyoming",1886.0,1921,1938.0,12450,Rocky Mountain Athletic
Fort Hays State,Tigers,"Hays, Kansas",1902.0,1967,1972.0,15000,Rocky Mountain Athletic
Fort Hays State,Tigers,"Hays, Kansas",1902.0,1989,2006.0,15000,Rocky Mountain Athletic
Nebraska at Kearney,Lopers,"Kearney, Nebraska",1905.0,1989,1990.0,6500,Rocky Mountain Athletic
Nebraska at Kearney,Lopers,"Kearney, Nebraska",1905.0,1994,2012.0,6500,Rocky Mountain Athletic
Western New Mexico,Mustangs,"Silver City, New Mexico",1893.0,1967,1990.0,3500,Rocky Mountain Athletic
Western New Mexico,Mustangs,"Silver City, New Mexico",1893.0,2006,2016.0,3500,Rocky Mountain Athletic
Catholic America,Cardinals,"Washington, D.C.",1887.0,1916,1921.0,7000,South Atlantic Intercollegiate Athletic
Davidson,Wildcats,"Davidson, North Carolina",1837.0,1916,1921.0,1800,South Atlantic Intercollegiate Athletic
George Washington,Colonials,"Washington, D.C.",1821.0,1916,1921.0,28000,South Atlantic Intercollegiate Athletic
Georgetown,Hoyas,"Washington, D.C.",1789.0,1911,1921.0,19000,South Atlantic Intercollegiate Athletic
Johns Hopkins,Blue Jays,"Baltimore, Maryland",1876.0,1911,1921.0,24000,South Atlantic Intercollegiate Athletic
Maryland,Terrapins,"College Park, Maryland",1856.0,1916,1921.0,41200,South Atlantic Intercollegiate Athletic
North Carolina,Tar Heels,"Chapel Hill, North Carolina",1789.0,1911,1921.0,30000,South Atlantic Intercollegiate Athletic
NC State,Wolfpack,"Raleigh, North Carolina",1887.0,1911,1921.0,36000,South Atlantic Intercollegiate Athletic
Richmond,Spiders,"Richmond, Virginia",1830.0,1911,1921.0,4200,South Atlantic Intercollegiate Athletic
St. John's  (Maryland),Johnnies,"Annapolis, Maryland",1696.0,1921,1921.0,500,South Atlantic Intercollegiate Athletic
Trinity  (North Carolina),Tigers,"Durham, North Carolina",1838.0,1916,1921.0,6000,South Atlantic Intercollegiate Athletic
Virginia,Cavaliers,"Charlottesville, Virginia",1819.0,1911,1921.0,24000,South Atlantic Intercollegiate Athletic
Virginia Polytechnic Institute,Hokies,"Blacksburg, Virginia",1872.0,1911,1921.0,34000,South Atlantic Intercollegiate Athletic
Virginia Military Institute,Keydets,"Lexington, Virginia",1839.0,1916,1921.0,1700,South Atlantic Intercollegiate Athletic
Washington and Lee,Generals,"Lexington, Virginia",1749.0,1911,1921.0,1900,South Atlantic Intercollegiate Athletic
William & Mary,Tribe,"Williamsburg, Virginia",1693.0,1916,1921.0,8600,South Atlantic Intercollegiate Athletic
UCLA,Bruins,Los Angeles,1919.0,1920,1926.0,39271,Southern California Intercollegiate Athletic
San Diego State,Aztecs,San Diego,1897.0,1926,1938.0,31303,Southern California Intercollegiate Athletic
California - Santa Barbara,Gauchos,Santa Barbara,1891.0,1931,1937.0,22850,Southern California Intercollegiate Athletic
Houston Christian,Huskies,"Houston, Texas",1960.0,2013,,4257,Southland
the Incarnate Word,Cardinals,"San Antonio, Texas",1881.0,2013,,9275,Southland
McNeese State,Cowboys/Cowgirls,"Lake Charles, Louisiana",1939.0,1972,,7648,Southland
New Orleans,Privateers,"New Orleans, Louisiana",1958.0,2013,,8151,Southland
Nicholls State,Colonels,"Thibodaux, Louisiana",1948.0,1991,,6366,Southland
Northwestern State,Demons/Lady Demons,"Natchitoches, Louisiana",1884.0,1987,,10979,Southland
Southeastern Louisiana,Lions/Lady Lions,"Hammond, Louisiana",1925.0,1997,,13492,Southland
Texas A&M –Commerce,Lions,"Commerce, Texas",1889.0,2022,,12385,Southland
Texas A&M –Corpus Christi,Islanders,"Corpus Christi, Texas",1947.0,2006,,11929,Southland
Arkansas State,Indians[c],"Jonesboro, Arkansas",1909.0,1963,1987.0,,Southland
Central Arkansas,Bears/Sugar Bears,"Conway, Arkansas",1907.0,2006,2021.0,,Southland
Louisiana Tech,BulldogsLady Techsters,"Ruston, Louisiana",1894.0,1971,1987.0,,Southland
Northeast Louisiana,Indians[d],"Monroe, Louisiana",1931.0,1982,2006.0,,Southland
North Texas,Mean Green,"Denton, Texas",1890.0,1982,1996.0,,Southland
Oral Roberts,Golden Eagles,"Tulsa, Oklahoma",1963.0,2012,2014.0,,Southland
Southwestern Louisiana,Ragin' Cajuns,"Lafayette, Louisiana",1898.0,1971,1982.0,,Southland
Sam Houston State,Bearkats,"Huntsville, Texas",1879.0,1987,2021.0,,Southland
Stephen F. Austin State,Lumberjacks/Ladyjacks,"Nacogdoches, Texas",1923.0,1987,2021.0,,Southland
Texas State,Bobcats,"San Marcos, Texas",1899.0,1987,2012.0,,Southland
Texas at Arlington,Mavericks,"Arlington, Texas",1895.0,1963,2012.0,,Southland
UTSA,Roadrunners,"San Antonio, Texas",1969.0,1991,2012.0,,Southland
Trinity,Tigers,"San Antonio, Texas",1869.0,1963,1972.0,,Southland
Lamar,Cardinals,"Beaumont, Texas",1923.0,1963,1987.0,15000,Southland
Lamar,Cardinals,"Beaumont, Texas",1923.0,1999,2021.0,15000,Southland
Lamar,Cardinals,"Beaumont, Texas",1923.0,2022,,15000,Southland
Abilene Christian,Wildcats,"Abilene, Texas",1906.0,1963,1973.0,5000,Southland
Abilene Christian,Wildcats,"Abilene, Texas",1906.0,2013,2021.0,5000,Southland
Austin,Kangaroos,"Sherman, Texas",1849.0,1909,1925.0,1300,Texas Intercollegiate Athletic
Texas Christian,Horned Frogs,"Fort Worth, Texas",1873.0,1909,1923.0,11000,Texas Intercollegiate Athletic
Texas,Longhorns,"Austin, Texas",1883.0,1909,1914.0,51000,Texas Intercollegiate Athletic
Texas A&M,Aggies,"College Station, Texas",1876.0,1909,1914.0,69000,Texas Intercollegiate Athletic
Baylor,Bears,"Waco, Texas",1845.0,1909,1914.0,17000,Texas Intercollegiate Athletic
Trinity,Tigers,"San Antonio, Texas",1869.0,1909,1925.0,2500,Texas Intercollegiate Athletic
Rice,Owls,"Houston, Texas",1912.0,1909,1924.0,7000,Texas Intercollegiate Athletic
Texas at El Paso,Miners,"El Paso, Texas",1914.0,1914,1925.0,25000,Texas Intercollegiate Athletic
Texas Tech,Red Raiders,"Lubbock, Texas",1923.0,1925,1925.0,40000,Texas Intercollegiate Athletic
Southwestern,Pirates,"Georgetown, Texas",1840.0,1909,1914.0,1500,Texas Intercollegiate Athletic
Sul Ross State,Lobos,"Alpine, Texas",1917.0,1930,1932.0,2000,Texas Intercollegiate Athletic
West Texas A&M,Buffaloes,"Canyon, Texas",1910.0,1930,1932.0,10000,Texas Intercollegiate Athletic
Texas A&M –Commerce,Lions,"Commerce, Texas",1889.0,1930,1932.0,12000,Texas Intercollegiate Athletic
North Texas,Mean Green,"Denton, Texas",1890.0,1930,1932.0,40000,Texas Intercollegiate Athletic
Sam Houston State,Bearkats,"Huntsville, Texas",1879.0,1930,1932.0,21000,Texas Intercollegiate Athletic
Stephen F. Austin State,Lumberjacks,"Nacogdoches, Texas",1923.0,1930,1932.0,13000,Texas Intercollegiate Athletic
Texas State,Bobcats,"San Marcos, Texas",1899.0,1930,1932.0,38000,Texas Intercollegiate Athletic
Kansas,Jayhawks,"Lawrence, Kansas",1865.0,1892,1897.0,28000,Western Interstate University Football Association
Nebraska,Cornhuskers,"Lincoln, Nebraska",1869.0,1892,1897.0,26000,Western Interstate University Football Association
Missouri,Tigers,"Columbia, Missouri",1839.0,1892,1897.0,30000,Western Interstate University Football Association
Iowa,Hawkeyes,"Iowa City, Iowa",1847.0,1892,1897.0,32000,Western Interstate University Football Association
Alderson,,"Alderson, West Virginia",1901.0,1924,1932.0,,West Virginia Intercollegiate Athletic
Broaddus,,"Philippi, West Virginia",1871.0,1924,1932.0,,West Virginia Intercollegiate Athletic
West Virginia,,"Morgantown, West Virginia",1867.0,1924,1927.0,,West Virginia Intercollegiate Athletic
Morehead State,,"Morehead, Kentucky",1887.0,1929,1933.0,,West Virginia Intercollegiate Athletic
Mountain State,,"Beckley, West Virginia",1933.0,1946,1977.0,,West Virginia Intercollegiate Athletic
Marshall,,"Huntington, West Virginia",1837.0,1924,1948.0,,West Virginia Intercollegiate Athletic
Bethany,,"Bethany, West Virginia",1840.0,1924,1962.0,,West Virginia Intercollegiate Athletic
Potomac State  West Virginia,,"Keyser, West Virginia",1901.0,1924,1963.0,,West Virginia Intercollegiate Athletic
West Virginia  Institute of Technology,,"Montgomery, West Virginia[i]",1895.0,1924,2006.0,,West Virginia Intercollegiate Athletic
Salem,,"Salem, West Virginia",1888.0,1924,2010.0,,West Virginia Intercollegiate Athletic
Boston College,Terriers,"Boston, MA",1839.0,1971,1996.0,,Yankee
Connecticut,Huskies,"Storrs, CT",1881.0,1946,1996.0,,Yankee
Delaware,Fightin' Blue Hens,"Newark, DE",1743.0,1986,1996.0,,Yankee
the Holy Cross,Crusaders,"Worcester, MA",1843.0,1971,1972.0,,Yankee
James Madison,Dukes,"Harrisonburg, VA",1908.0,1993,1996.0,,Yankee
Maine,Black Bears,"Orono, ME",1865.0,1946,1996.0,,Yankee
Massachusetts Amherst,Aggies/Redmen/Minutemen,"Amherst, MA",1863.0,1946,1996.0,,Yankee
New Hampshire,Wildcats,"Durham, NH",1866.0,1946,1996.0,,Yankee
Northeastern,Huskies,"Boston, MA",1898.0,1993,1996.0,,Yankee
Rhode Island,Rams,"Kingston, RI",1892.0,1946,1996.0,,Yankee
Richmond,Spiders,"Richmond, VA",1830.0,1986,1996.0,,Yankee
Vermont,Catamounts,"Burlington, VT",1791.0,1946,1996.0,,Yankee
Villanova,Wildcats,"Villanova, PA",1842.0,1988,1996.0,,Yankee
The  William & Mary,Tribe,"Williamsburg, VA",1693.0,1993,,,Yankee
